26-Jul-24 12:10:00 PM: # Cycle 00000 | Well A01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-137308 Z:7141
26-Jul-24 12:10:30 PM: # Cycle 00000 | Well A02, Position 00001 | Channel BRIGHT | Filter GFP | X:37683 Y:-137308 Z:7265
26-Jul-24 12:10:59 PM: # Cycle 00000 | Well A03, Position 00001 | Channel BRIGHT | Filter GFP | X:55454 Y:-137307 Z:7073
26-Jul-24 12:11:32 PM: # Cycle 00000 | Well A04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-137307 Z:7349
26-Jul-24 12:12:02 PM: # Cycle 00000 | Well A05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-137308 Z:7383
26-Jul-24 12:12:31 PM: # Cycle 00000 | Well A06, Position 00001 | Channel BRIGHT | Filter GFP | X:108784 Y:-137308 Z:7425
26-Jul-24 12:13:00 PM: # Cycle 00000 | Well A07, Position 00001 | Channel BRIGHT | Filter GFP | X:126561 Y:-137308 Z:7429
26-Jul-24 12:13:29 PM: # Cycle 00000 | Well A08, Position 00001 | Channel BRIGHT | Filter GFP | X:144338 Y:-137308 Z:7387
26-Jul-24 12:13:58 PM: # Cycle 00000 | Well A09, Position 00001 | Channel BRIGHT | Filter GFP | X:162113 Y:-137307 Z:7403
26-Jul-24 12:14:26 PM: # Cycle 00000 | Well A10, Position 00001 | Channel BRIGHT | Filter GFP | X:179889 Y:-137308 Z:7421
26-Jul-24 12:14:55 PM: # Cycle 00000 | Well A11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-137308 Z:7383
26-Jul-24 12:15:24 PM: # Cycle 00000 | Well A12, Position 00001 | Channel BRIGHT | Filter GFP | X:215443 Y:-137308 Z:7291
26-Jul-24 12:15:56 PM: # Cycle 00000 | Well B12, Position 00001 | Channel BRIGHT | Filter GFP | X:215438 Y:-119410 Z:7441
26-Jul-24 12:16:25 PM: # Cycle 00000 | Well B11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-119410 Z:7441
26-Jul-24 12:16:53 PM: # Cycle 00000 | Well B10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-119410 Z:7433
26-Jul-24 12:17:21 PM: # Cycle 00000 | Well B09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-119410 Z:7403
26-Jul-24 12:17:51 PM: # Cycle 00000 | Well B08, Position 00001 | Channel BRIGHT | Filter GFP | X:144335 Y:-119409 Z:7441
26-Jul-24 12:18:19 PM: # Cycle 00000 | Well B07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-119409 Z:7419
26-Jul-24 12:18:48 PM: # Cycle 00000 | Well B06, Position 00001 | Channel BRIGHT | Filter GFP | X:108783 Y:-119409 Z:7445
26-Jul-24 12:19:16 PM: # Cycle 00000 | Well B05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-119409 Z:7198
26-Jul-24 12:19:47 PM: # Cycle 00000 | Well B04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-119409 Z:7372
26-Jul-24 12:20:16 PM: # Cycle 00000 | Well B03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-119409 Z:7333
26-Jul-24 12:20:45 PM: # Cycle 00000 | Well B02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-119409 Z:7267
26-Jul-24 12:21:14 PM: # Cycle 00000 | Well B01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-119409 Z:6975
26-Jul-24 12:21:50 PM: # Cycle 00000 | Well D01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-83616 Z:7253
26-Jul-24 12:22:21 PM: # Cycle 00000 | Well D02, Position 00001 | Channel BRIGHT | Filter GFP | X:37681 Y:-83616 Z:7349
