29-Aug-24 4:15:07 PM: # Cycle 00000 | Well B01, Position 00001 | Channel BRIGHT | Filter GFP | X:19903 Y:-119411 Z:7135
29-Aug-24 4:15:39 PM: # Cycle 00000 | Well B02, Position 00001 | Channel BRIGHT | Filter GFP | X:37681 Y:-119411 Z:7215
29-Aug-24 4:16:10 PM: # Cycle 00000 | Well B03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-119411 Z:7289
29-Aug-24 4:16:40 PM: # Cycle 00000 | Well B04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-119411 Z:7339
29-Aug-24 4:17:10 PM: # Cycle 00000 | Well B05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-119411 Z:7348
29-Aug-24 4:17:40 PM: # Cycle 00000 | Well B06, Position 00001 | Channel BRIGHT | Filter GFP | X:108785 Y:-119411 Z:7414
29-Aug-24 4:18:09 PM: # Cycle 00000 | Well B07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-119411 Z:7390
29-Aug-24 4:18:40 PM: # Cycle 00000 | Well B08, Position 00001 | Channel BRIGHT | Filter GFP | X:144338 Y:-119412 Z:7424
29-Aug-24 4:19:09 PM: # Cycle 00000 | Well B09, Position 00001 | Channel BRIGHT | Filter GFP | X:162114 Y:-119412 Z:7378
29-Aug-24 4:19:40 PM: # Cycle 00000 | Well B10, Position 00001 | Channel BRIGHT | Filter GFP | X:179892 Y:-119411 Z:7428
29-Aug-24 4:20:10 PM: # Cycle 00000 | Well B11, Position 00001 | Channel BRIGHT | Filter GFP | X:197669 Y:-119411 Z:7432
29-Aug-24 4:20:39 PM: # Cycle 00000 | Well B12, Position 00001 | Channel BRIGHT | Filter GFP | X:215444 Y:-119411 Z:7424
29-Aug-24 4:21:13 PM: # Cycle 00000 | Well D12, Position 00001 | Channel BRIGHT | Filter GFP | X:215438 Y:-83616 Z:7420
29-Aug-24 4:21:43 PM: # Cycle 00000 | Well D11, Position 00001 | Channel BRIGHT | Filter GFP | X:197662 Y:-83616 Z:7400
29-Aug-24 4:22:14 PM: # Cycle 00000 | Well D10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-83616 Z:7446
29-Aug-24 4:22:45 PM: # Cycle 00000 | Well D09, Position 00001 | Channel BRIGHT | Filter GFP | X:162113 Y:-83616 Z:7472
29-Aug-24 4:23:15 PM: # Cycle 00000 | Well D08, Position 00001 | Channel BRIGHT | Filter GFP | X:144334 Y:-83616 Z:7468
29-Aug-24 4:23:45 PM: # Cycle 00000 | Well D07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-83616 Z:7502
29-Aug-24 4:24:15 PM: # Cycle 00000 | Well D06, Position 00001 | Channel BRIGHT | Filter GFP | X:108782 Y:-83616 Z:7448
29-Aug-24 4:24:45 PM: # Cycle 00000 | Well D05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-83616 Z:7414
29-Aug-24 4:25:15 PM: # Cycle 00000 | Well D04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-83615 Z:7363
29-Aug-24 4:25:44 PM: # Cycle 00000 | Well D03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-83615 Z:7149
29-Aug-24 4:26:17 PM: # Cycle 00000 | Well D02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-83615 Z:7133
29-Aug-24 4:26:46 PM: # Cycle 00000 | Well D01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-83615 Z:7025
29-Aug-24 4:27:24 PM: # Cycle 00000 | Well F01, Position 00001 | Channel BRIGHT | Filter GFP | X:19909 Y:-47824 Z:7217
29-Aug-24 4:27:55 PM: # Cycle 00000 | Well F02, Position 00001 | Channel BRIGHT | Filter GFP | X:37683 Y:-47824 Z:7293
29-Aug-24 4:28:26 PM: # Cycle 00000 | Well F03, Position 00001 | Channel BRIGHT | Filter GFP | X:55460 Y:-47823 Z:7355
29-Aug-24 4:28:58 PM: # Cycle 00000 | Well F04, Position 00001 | Channel BRIGHT | Filter GFP | X:73234 Y:-47824 Z:7427
29-Aug-24 4:29:29 PM: # Cycle 00000 | Well F05, Position 00001 | Channel BRIGHT | Filter GFP | X:91009 Y:-47823 Z:7435
29-Aug-24 4:30:01 PM: # Cycle 00000 | Well F06, Position 00001 | Channel BRIGHT | Filter GFP | X:108788 Y:-47824 Z:7523
29-Aug-24 4:30:31 PM: # Cycle 00000 | Well F07, Position 00001 | Channel BRIGHT | Filter GFP | X:126564 Y:-47824 Z:7511
29-Aug-24 4:31:00 PM: # Cycle 00000 | Well F08, Position 00001 | Channel BRIGHT | Filter GFP | X:144341 Y:-47824 Z:7469
29-Aug-24 4:31:31 PM: # Cycle 00000 | Well F09, Position 00001 | Channel BRIGHT | Filter GFP | X:162118 Y:-47824 Z:7485
29-Aug-24 4:32:00 PM: # Cycle 00000 | Well F10, Position 00001 | Channel BRIGHT | Filter GFP | X:179895 Y:-47824 Z:7465
29-Aug-24 4:32:30 PM: # Cycle 00000 | Well F11, Position 00001 | Channel BRIGHT | Filter GFP | X:197673 Y:-47824 Z:7469
29-Aug-24 4:32:59 PM: # Cycle 00000 | Well F12, Position 00001 | Channel BRIGHT | Filter GFP | X:215459 Y:-47824 Z:7423
29-Aug-24 4:33:33 PM: # Cycle 00000 | Well H12, Position 00001 | Channel BRIGHT | Filter GFP | X:215439 Y:-12027 Z:7369
29-Aug-24 4:34:04 PM: # Cycle 00000 | Well H11, Position 00001 | Channel BRIGHT | Filter GFP | X:197664 Y:-12027 Z:7441
29-Aug-24 4:34:34 PM: # Cycle 00000 | Well H10, Position 00001 | Channel BRIGHT | Filter GFP | X:179887 Y:-12027 Z:7444
29-Aug-24 4:35:04 PM: # Cycle 00000 | Well H09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-12027 Z:7464
29-Aug-24 4:35:33 PM: # Cycle 00000 | Well H08, Position 00001 | Channel BRIGHT | Filter GFP | X:144335 Y:-12027 Z:7472
29-Aug-24 4:36:03 PM: # Cycle 00000 | Well H07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-12027 Z:7484
29-Aug-24 4:36:33 PM: # Cycle 00000 | Well H06, Position 00001 | Channel BRIGHT | Filter GFP | X:108782 Y:-12027 Z:7460
29-Aug-24 4:37:02 PM: # Cycle 00000 | Well H05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-12027 Z:7464
